,model_name,steps,time_elapsed,final_score,number_of_crashes,varying_wind, wind_strength
17,LLC_FFF_C0FF_10,649942,30.00287,4227.157,2,False,40
18,LLC_FFF_C0FF_10,749974,30.00699,4874.675,0,False,40
19,LLC_FFF_C0FF_10,849985,30.00819,5431.895,0,False,40
20,LLC_FFF_C0FF_10,949954,30.01199,6381.967,0,False,40
21,LLC_FFF_C0FF_10,1000023,30.00047,6986.721,2,False,40
22,LLC_FFF_C0FF_10,49999,30.00096,2693.21,8,False,40
23,LLC_FFF_C0FF_10,149986,30.00409,2692.844,11,False,40
24,LLC_FFF_C0FF_10,249948,30.01714,3578.481,9,False,40
25,LLC_FFF_C0FF_10,349989,30.00507,3570.541,7,False,40
26,LLC_FFF_C0FF_10,449948,30.00497,4399.583,4,False,40
27,LLC_FFF_C0FF_10,549944,30.00646,3323.863,4,False,40
28,LLC_FFF_C0FF_10,649942,30.01332,4224.232,0,False,40
29,LLC_FFF_C0FF_10,749974,30.00464,4765.848,0,False,40
30,LLC_FFF_C0FF_10,849985,30.00044,5192.891,0,False,40
31,LLC_FFF_C0FF_10,949954,30.00355,6531.585,0,False,40
32,LLC_FFF_C0FF_10,1000023,30.01308,6593.396,0,False,40
33,LLC_FFF_C0FF_10,49999,30.00405,2868.25,7,False,40
34,LLC_FFF_C0FF_10,149986,30.0012,2557.148,14,False,40
35,LLC_FFF_C0FF_10,249948,30.00679,3660.502,7,False,40
36,LLC_FFF_C0FF_10,349989,30.0094,3694.874,9,False,40
37,LLC_FFF_C0FF_10,449948,30.00466,3304.036,5,False,40
38,LLC_FFF_C0FF_10,549944,30.00672,4254.368,1,False,40
39,LLC_FFF_C0FF_10,649942,30.00695,4213.157,1,False,40
40,LLC_FFF_C0FF_10,749974,30.00667,4724.366,0,False,40
41,LLC_FFF_C0FF_10,849985,30.00293,5226.636,0,False,40
42,LLC_FFF_C0FF_10,949954,30.00352,6637.088,0,False,40
43,LLC_FFF_C0FF_10,1000023,30.00512,6648.105,0,False,40
44,LLC_FFF_C0FF_10,49999,30.00149,2684.018,8,False,40
45,LLC_FFF_C0FF_10,149986,30.00683,3553.903,5,False,40
46,LLC_FFF_C0FF_10,249948,30.00123,3273.735,11,False,40
47,LLC_FFF_C0FF_10,349989,30.00505,3905.091,7,False,40
48,LLC_FFF_C0FF_10,449948,30.00378,4754.926,1,False,40
49,LLC_FFF_C0FF_10,549944,30.00053,3885.018,4,False,40
50,LLC_FFF_C0FF_10,649942,30.00459,4554.456,0,False,40
51,LLC_FFF_C0FF_10,749974,30.00949,4820.806,0,False,40
52,LLC_FFF_C0FF_10,849985,30.00344,5684.865,0,False,40
53,LLC_FFF_C0FF_10,949954,30.00556,5930.094,5,False,40
54,LLC_FFF_C0FF_10,1000023,30.00054,5821.947,5,False,40
55,LLC_FFF_C0FF_10,49999,30.01289,2755.558,7,False,40
56,LLC_FFF_C0FF_10,149986,30.00499,2716.282,13,False,40
57,LLC_FFF_C0FF_10,249948,30.00356,3117.197,8,False,40
58,LLC_FFF_C0FF_10,349989,30.00219,3660.491,8,False,40
59,LLC_FFF_C0FF_10,449948,30.00402,4986.146,1,False,40
60,LLC_FFF_C0FF_10,549944,30.00064,3713.163,2,False,40
61,LLC_FFF_C0FF_10,649942,30.01014,4171.862,2,False,40
62,LLC_FFF_C0FF_10,749974,30.00852,4623.209,0,False,40
63,LLC_FFF_C0FF_10,849985,30.00257,5199.499,0,False,40
64,LLC_FFF_C0FF_10,949954,30.01008,6313.044,0,False,40
65,LLC_FFF_C0FF_10,1000023,30.00124,6309.429,3,False,40
66,LLC_FFF_C0FF_10,49999,30.01663,3160.701,6,False,40
67,LLC_FFF_C0FF_10,149986,30.00273,2877.85,10,False,40
68,LLC_FFF_C0FF_10,249948,30.00383,3668.358,9,False,40
69,LLC_FFF_C0FF_10,349989,30.00011,3244.681,9,False,40
70,LLC_FFF_C0FF_10,449948,30.00694,4139.707,3,False,40
71,LLC_FFF_C0FF_10,549944,30.00049,4047.009,2,False,40
72,LLC_FFF_C0FF_10,649942,30.00273,4412.517,1,False,40
73,LLC_FFF_C0FF_10,749974,30.00512,4871.884,0,False,40
74,LLC_FFF_C0FF_10,849985,30.00614,5177.33,0,False,40
75,LLC_FFF_C0FF_10,949954,30.00066,6409.841,1,False,40
76,LLC_FFF_C0FF_10,1000023,30.00863,6411.651,0,False,40
77,LLC_FFF_C0FF_10,49999,30.0022,2885.399,7,False,40
78,LLC_FFF_C0FF_10,149986,30.00341,3135.93,10,False,40
79,LLC_FFF_C0FF_10,249948,30.00343,3520.262,6,False,40
80,LLC_FFF_C0FF_10,349989,30.00329,3026.897,5,False,40
81,LLC_FFF_C0FF_10,449948,30.02499,4273.116,4,False,40
82,LLC_FFF_C0FF_10,549944,30.02002,3916.974,2,False,40
83,LLC_FFF_C0FF_10,649942,30.0023,4566.966,0,False,40
84,LLC_FFF_C0FF_10,749974,30.00483,4681.063,0,False,40
85,LLC_FFF_C0FF_10,849985,30.00792,5153.183,0,False,40
86,LLC_FFF_C0FF_10,949954,30.00439,6099.705,0,False,40
87,LLC_FFF_C0FF_10,1000023,30.01026,6052.2,2,False,40
88,LLC_FFF_C0FF_10,49999,30.00637,3041.637,8,False,40
89,LLC_FFF_C0FF_10,149986,30.00777,2794.037,9,False,40
90,LLC_FFF_C0FF_10,249948,30.00241,3814.095,8,False,40
91,LLC_FFF_C0FF_10,349989,30.00324,2375.095,8,False,40
92,LLC_FFF_C0FF_10,449948,30.00116,3954.444,2,False,40
93,LLC_FFF_C0FF_10,549944,30.0059,3682.749,3,False,40
94,LLC_FFF_C0FF_10,649942,30.00401,4244.073,2,False,40
95,LLC_FFF_C0FF_10,749974,30.00888,4707.694,0,False,40
96,LLC_FFF_C0FF_10,849985,30.00674,5437.013,0,False,40
97,LLC_FFF_C0FF_10,949954,30.01391,6369.413,1,False,40
98,LLC_FFF_C0FF_10,1000023,30.00448,6609.146,1,False,40
0,LLL_TFF_P0TT_1,49941,30.0048,3534.938,0,False,40
1,LLL_TFF_P0TT_1,149973,30.00412,3516.202,1,False,40
2,LLL_TFF_P0TT_1,249941,30.00201,3446.959,1,False,40
3,LLL_TFF_P0TT_1,349950,30.01343,3347.636,5,False,40
4,LLL_TFF_P0TT_1,449990,30.00588,3728.22,0,False,40
5,LLL_TFF_P0TT_1,549939,30.00415,3593.577,4,False,40
6,LLL_TFF_P0TT_1,649978,30.00321,3665.548,2,False,40
7,LLL_TFF_P0TT_1,749962,30.00595,3605.981,4,False,40
8,LLL_TFF_P0TT_1,849952,30.0065,3581.214,3,False,40
9,LLL_TFF_P0TT_1,949939,30.00061,3619.367,4,False,40
10,LLL_TFF_P0TT_1,1000061,30.00142,3511.522,5,False,40
0,LCL_FFF_C0FT_1,49964,30.00191,3298.209,6,False,40
1,LCL_FFF_C0FT_1,149983,30.00178,4112.86,3,False,40
2,LCL_FFF_C0FT_1,249982,30.00102,4894.04,1,False,40
3,LCL_FFF_C0FT_1,349978,30.005,4461.424,0,False,40
4,LCL_FFF_C0FT_1,449946,30.0017,5644.144,1,False,40
5,LCL_FFF_C0FT_1,549948,30.00618,6418.574,1,False,40
6,LCL_FFF_C0FT_1,649974,30.02362,7714.056,1,False,40
7,LCL_FFF_C0FT_1,749986,30.00278,7932.416,2,False,40
8,LCL_FFF_C0FT_1,849979,30.00309,7422.147,3,False,40
9,LCL_FFF_C0FT_1,949997,30.00932,5123.844,5,False,40
10,LCL_FFF_C0FT_1,1000040,30.00069,7015.567,3,False,40
0,LLL_FFF_P0FT_1,49955,30.00338,3178.147,1,False,40
1,LLL_FFF_P0FT_1,149987,30.00824,3531.846,0,False,40
2,LLL_FFF_P0FT_1,249955,30.00614,3611.535,0,False,40
3,LLL_FFF_P0FT_1,349985,30.00027,3617.606,0,False,40
4,LLL_FFF_P0FT_1,449988,30.00566,3605.517,0,False,40
5,LLL_FFF_P0FT_1,549985,30.00062,3617.877,0,False,40
6,LLL_FFF_P0FT_1,649996,30.00693,3658.85,3,False,40
7,LLL_FFF_P0FT_1,749960,30.00368,3386.421,4,False,40
8,LLL_FFF_P0FT_1,849983,30.00086,3476.576,1,False,40
9,LLL_FFF_P0FT_1,949973,30.00149,3541.03,4,False,40
10,LLL_FFF_P0FT_1,1000012,30.00378,3572.206,2,False,40
0,LLC_FFF_C0FT_1,49961,30.00514,3331.844,7,False,40
1,LLC_FFF_C0FT_1,149993,30.00466,3705.703,3,False,40
2,LLC_FFF_C0FT_1,249961,30.00432,3483.772,1,False,40
3,LLC_FFF_C0FT_1,349949,30.00782,3615.509,0,False,40
4,LLC_FFF_C0FT_1,449978,30.00254,3589.707,0,False,40
5,LLC_FFF_C0FT_1,549952,30.00961,3625.834,1,False,40
6,LLC_FFF_C0FT_1,649987,30.00536,3642.889,0,False,40
7,LLC_FFF_C0FT_1,749963,30.00577,3648.342,0,False,40
8,LLC_FFF_C0FT_1,849995,30.01217,3642.781,0,False,40
9,LLC_FFF_C0FT_1,949963,30.01217,3647.258,0,False,40
10,LLC_FFF_C0FT_1,1000011,30.00878,3647.21,0,False,40
0,LCL_FFT_C0TT_1,49998,30.00166,3526.905,1,False,40
1,LCL_FFT_C0TT_1,149993,30.00262,3079.208,3,False,40
2,LCL_FFT_C0TT_1,249940,30.00723,3192.046,1,False,40
3,LCL_FFT_C0TT_1,349972,30.00678,3240.472,0,False,40
4,LCL_FFT_C0TT_1,449940,30.01628,3422.531,0,False,40
5,LCL_FFT_C0TT_1,549972,30.00535,3332.192,0,False,40
6,LCL_FFT_C0TT_1,649940,30.00629,3265.696,1,False,40
7,LCL_FFT_C0TT_1,749972,30.00633,3416.583,1,False,40
